measurement_id,x,y,z,var_r,var_z
0,-37.2052498,-23.0152416,-1497.5,0.000833333354,0
1,-37.3237076,-23.085804,-1502.5,0.000833333354,0
2,-36.9139481,-61.5103683,-1502,0.000833333354,0
3,56.2902031,-45.7108536,-1497.5,0.000833333354,0
4,52.775589,-24.8342209,-1502.5,0.000833333354,0
5,52.6126251,-24.7724991,-1498,0.000833333354,0
6,66.4214325,-5.47021818,-1497.5,0.000833333354,0
7,133.023529,10.7485666,-1502,0.000833333354,0
8,132.654663,10.8093309,-1498,0.000833333354,0
9,78.3605957,82.5200729,-1502,0.000833333354,0
10,110.047081,132.016083,-1498,0.000833333354,0
11,78.1576614,82.3263626,-1498,0.000833333354,0
12,-95.7749023,-43.6090279,-1502,0.000833333354,0
13,-86.8855667,-144.519379,-1498,0.000833333354,0
14,93.9048004,-60.0880585,-1498,0.000833333354,0
15,94.162941,-60.2028999,-1502,0.000833333354,0
16,174.532516,-18.6092739,-1502,0.000833333354,0
17,68.3299179,71.0726166,-1298,0.000833333354,0
18,-82.7011871,-39.0706406,-1302,0.000833333354,0
19,-32.2076569,-20.1179867,-1297.5,0.000833333354,0
20,-32.3226814,-20.2064381,-1302.5,0.000833333354,0
21,-31.7338753,-53.6431694,-1302,0.000833333354,0
22,48.3717728,-40.2888031,-1297.5,0.000833333354,0
23,80.9672012,-53.3742867,-1302.5,0.000833333354,0
24,45.9034233,-21.4247036,-1302.5,0.000833333354,0
25,45.7609901,-21.331665,-1298,0.000833333354,0
26,57.6721497,-4.51660156,-1297.5,0.000833333354,0
27,115.492821,11.8008232,-1302,0.000833333354,0
28,115.153381,11.8245754,-1298,0.000833333354,0
29,97.5268707,112.897438,-1298,0.000833333354,0
30,13.9268122,159.944809,-1298,0.000833333354,0
31,13.8331976,160.438599,-1302,0.000833333354,0
32,-90.4551849,143.834106,-1298,0.000833333354,0
33,-147.702164,-68.4062576,-1302,0.000833333354,0
34,-124.673378,-106.113037,-1298,0.000833333354,0
35,-115.279045,-117.165268,-1302,0.000833333354,0
36,-72.8907242,-127.000954,-1298,0.000833333354,0
37,151.698334,-15.2852125,-1302,0.000833333354,0
38,151.234146,-15.2413645,-1298,0.000833333354,0
39,49.1652184,-3.59783792,-1102.5,0.000833333354,0
40,98.0593033,12.1493568,-1102.5,0.000833333354,0
41,58.5931587,60.2336617,-1102.5,0.000833333354,0
42,58.3733482,59.978138,-1098,0.000833333354,0
43,-69.8237381,-34.1236649,-1102,0.000833333354,0
44,-27.221571,-17.1909657,-1097.5,0.000833333354,0
45,-69.4802017,-33.9768944,-1097.5,0.000833333354,0
46,-27.351017,-17.2657356,-1102.5,0.000833333354,0
47,-26.5914154,-45.7139511,-1102,0.000833333354,0
48,-26.5083942,-45.5516624,-1097.5,0.000833333354,0
49,40.5986595,-34.6579475,-1097.5,0.000833333354,0
50,67.9563293,-46.1351967,-1102.5,0.000833333354,0
51,39.0580101,-18.0020027,-1102.5,0.000833333354,0
52,38.9155617,-17.9405861,-1098,0.000833333354,0
53,48.9503212,-3.59482026,-1097.5,0.000833333354,0
54,84.6642914,94.5910873,-1102,0.000833333354,0
55,84.343338,94.2483673,-1098,0.000833333354,0
56,17.3315163,135.305786,-1098,0.000833333354,0
57,-72.4836807,125.586914,-1102,0.000833333354,0
58,-125.649803,-57.3982658,-1102,0.000833333354,0
59,-106.085976,-89.6697311,-1098,0.000833333354,0
